archive	name	segment_index	body_offset_hex	rank	review_status	review_note	review_id	candidate_native_path	candidate_fullhd_path	review_sheet_path
L10_DC	gargoyl5.pcx	14	0x000adf81	1	rejected	visual review: noisy probe, no coherent texture structure	L10_DC__gargoyl5.pcx__seg14__0x000adf81__rank1	output/tex_large_unresolved_probe_render/L10_DC/gargoyl5.pcx_seg14_off000adf81_skip8_w128_pal.png	output/tex_large_unresolved_probe_render/L10_DC/gargoyl5.pcx_seg14_off000adf81_skip8_w128_pal_fullhd.png	output/tex_large_unresolved_probe_review/sheets/L10_DC__gargoyl5.pcx__seg14__0x000adf81.png
L10_DC	gargoyl5.pcx	14	0x000adf81	2	rejected	visual review: noisy probe, no coherent texture structure	L10_DC__gargoyl5.pcx__seg14__0x000adf81__rank2	output/tex_large_unresolved_probe_render/L10_DC/gargoyl5.pcx_seg14_off000adf81_skip0_w128_pal.png	output/tex_large_unresolved_probe_render/L10_DC/gargoyl5.pcx_seg14_off000adf81_skip0_w128_pal_fullhd.png	output/tex_large_unresolved_probe_review/sheets/L10_DC__gargoyl5.pcx__seg14__0x000adf81.png
L10_DC	gargoyl5.pcx	14	0x000adf81	3	rejected	visual review: noisy probe, no coherent texture structure	L10_DC__gargoyl5.pcx__seg14__0x000adf81__rank3	output/tex_large_unresolved_probe_render/L10_DC/gargoyl5.pcx_seg14_off000adf81_skip12_w128_pal.png	output/tex_large_unresolved_probe_render/L10_DC/gargoyl5.pcx_seg14_off000adf81_skip12_w128_pal_fullhd.png	output/tex_large_unresolved_probe_review/sheets/L10_DC__gargoyl5.pcx__seg14__0x000adf81.png
L12_CM	stump2.pcx	6	0x000725bf	1	rejected	visual review: noisy probe, no coherent texture structure	L12_CM__stump2.pcx__seg6__0x000725bf__rank1	output/tex_large_unresolved_probe_render/L12_CM/stump2.pcx_seg6_off000725bf_skip0_w64_pal.png	output/tex_large_unresolved_probe_render/L12_CM/stump2.pcx_seg6_off000725bf_skip0_w64_pal_fullhd.png	output/tex_large_unresolved_probe_review/sheets/L12_CM__stump2.pcx__seg6__0x000725bf.png
L12_CM	stump2.pcx	6	0x000725bf	2	rejected	visual review: noisy probe, no coherent texture structure	L12_CM__stump2.pcx__seg6__0x000725bf__rank2	output/tex_large_unresolved_probe_render/L12_CM/stump2.pcx_seg6_off000725bf_skip8_w64_pal.png	output/tex_large_unresolved_probe_render/L12_CM/stump2.pcx_seg6_off000725bf_skip8_w64_pal_fullhd.png	output/tex_large_unresolved_probe_review/sheets/L12_CM__stump2.pcx__seg6__0x000725bf.png
L12_CM	stump2.pcx	6	0x000725bf	3	rejected	visual review: noisy probe, no coherent texture structure	L12_CM__stump2.pcx__seg6__0x000725bf__rank3	output/tex_large_unresolved_probe_render/L12_CM/stump2.pcx_seg6_off000725bf_skip16_w64_pal.png	output/tex_large_unresolved_probe_render/L12_CM/stump2.pcx_seg6_off000725bf_skip16_w64_pal_fullhd.png	output/tex_large_unresolved_probe_review/sheets/L12_CM__stump2.pcx__seg6__0x000725bf.png
L13_RC	agwall-1.pcx	6	0x0004b8ae	1	rejected	visual review: noisy probe, no coherent texture structure	L13_RC__agwall-1.pcx__seg6__0x0004b8ae__rank1	output/tex_large_unresolved_probe_render/L13_RC/agwall-1.pcx_seg6_off0004b8ae_skip12_w64_pal.png	output/tex_large_unresolved_probe_render/L13_RC/agwall-1.pcx_seg6_off0004b8ae_skip12_w64_pal_fullhd.png	output/tex_large_unresolved_probe_review/sheets/L13_RC__agwall-1.pcx__seg6__0x0004b8ae.png
L13_RC	agwall-1.pcx	6	0x0004b8ae	2	rejected	visual review: noisy probe, no coherent texture structure	L13_RC__agwall-1.pcx__seg6__0x0004b8ae__rank2	output/tex_large_unresolved_probe_render/L13_RC/agwall-1.pcx_seg6_off0004b8ae_skip4_w64_pal.png	output/tex_large_unresolved_probe_render/L13_RC/agwall-1.pcx_seg6_off0004b8ae_skip4_w64_pal_fullhd.png	output/tex_large_unresolved_probe_review/sheets/L13_RC__agwall-1.pcx__seg6__0x0004b8ae.png
L13_RC	agwall-1.pcx	6	0x0004b8ae	3	rejected	visual review: noisy probe, no coherent texture structure	L13_RC__agwall-1.pcx__seg6__0x0004b8ae__rank3	output/tex_large_unresolved_probe_render/L13_RC/agwall-1.pcx_seg6_off0004b8ae_skip8_w64_pal.png	output/tex_large_unresolved_probe_render/L13_RC/agwall-1.pcx_seg6_off0004b8ae_skip8_w64_pal_fullhd.png	output/tex_large_unresolved_probe_review/sheets/L13_RC__agwall-1.pcx__seg6__0x0004b8ae.png
L14_HT	barsgld.pcx	8	0x0006754f	1	rejected	visual review: noisy probe, no coherent texture structure	L14_HT__barsgld.pcx__seg8__0x0006754f__rank1	output/tex_large_unresolved_probe_render/L14_HT/barsgld.pcx_seg8_off0006754f_skip8_w128_pal.png	output/tex_large_unresolved_probe_render/L14_HT/barsgld.pcx_seg8_off0006754f_skip8_w128_pal_fullhd.png	output/tex_large_unresolved_probe_review/sheets/L14_HT__barsgld.pcx__seg8__0x0006754f.png
L14_HT	barsgld.pcx	8	0x0006754f	2	rejected	visual review: noisy probe, no coherent texture structure	L14_HT__barsgld.pcx__seg8__0x0006754f__rank2	output/tex_large_unresolved_probe_render/L14_HT/barsgld.pcx_seg8_off0006754f_skip16_w128_pal.png	output/tex_large_unresolved_probe_render/L14_HT/barsgld.pcx_seg8_off0006754f_skip16_w128_pal_fullhd.png	output/tex_large_unresolved_probe_review/sheets/L14_HT__barsgld.pcx__seg8__0x0006754f.png
L14_HT	barsgld.pcx	8	0x0006754f	3	rejected	visual review: noisy probe, no coherent texture structure	L14_HT__barsgld.pcx__seg8__0x0006754f__rank3	output/tex_large_unresolved_probe_render/L14_HT/barsgld.pcx_seg8_off0006754f_skip24_w128_pal.png	output/tex_large_unresolved_probe_render/L14_HT/barsgld.pcx_seg8_off0006754f_skip24_w128_pal_fullhd.png	output/tex_large_unresolved_probe_review/sheets/L14_HT__barsgld.pcx__seg8__0x0006754f.png
L16_CA	ped2.pcx	13	0x000ac592	1	rejected	visual review: noisy probe, no coherent texture structure	L16_CA__ped2.pcx__seg13__0x000ac592__rank1	output/tex_large_unresolved_probe_render/L16_CA/ped2.pcx_seg13_off000ac592_skip12_w64_pal.png	output/tex_large_unresolved_probe_render/L16_CA/ped2.pcx_seg13_off000ac592_skip12_w64_pal_fullhd.png	output/tex_large_unresolved_probe_review/sheets/L16_CA__ped2.pcx__seg13__0x000ac592.png
L16_CA	ped2.pcx	13	0x000ac592	2	rejected	visual review: noisy probe, no coherent texture structure	L16_CA__ped2.pcx__seg13__0x000ac592__rank2	output/tex_large_unresolved_probe_render/L16_CA/ped2.pcx_seg13_off000ac592_skip8_w64_pal.png	output/tex_large_unresolved_probe_render/L16_CA/ped2.pcx_seg13_off000ac592_skip8_w64_pal_fullhd.png	output/tex_large_unresolved_probe_review/sheets/L16_CA__ped2.pcx__seg13__0x000ac592.png
L16_CA	ped2.pcx	13	0x000ac592	3	rejected	visual review: noisy probe, no coherent texture structure	L16_CA__ped2.pcx__seg13__0x000ac592__rank3	output/tex_large_unresolved_probe_render/L16_CA/ped2.pcx_seg13_off000ac592_skip0_w64_pal.png	output/tex_large_unresolved_probe_render/L16_CA/ped2.pcx_seg13_off000ac592_skip0_w64_pal_fullhd.png	output/tex_large_unresolved_probe_review/sheets/L16_CA__ped2.pcx__seg13__0x000ac592.png
L17_HC	MTMMgutz4.pcx	5	0x00029875	1	rejected	visual review: noisy probe, no coherent texture structure	L17_HC__mtmmgutz4.pcx__seg5__0x00029875__rank1	output/tex_large_unresolved_probe_render/L17_HC/MTMMgutz4.pcx_seg5_off00029875_skip0_w128_pal.png	output/tex_large_unresolved_probe_render/L17_HC/MTMMgutz4.pcx_seg5_off00029875_skip0_w128_pal_fullhd.png	output/tex_large_unresolved_probe_review/sheets/L17_HC__mtmmgutz4.pcx__seg5__0x00029875.png
L17_HC	MTMMgutz4.pcx	5	0x00029875	2	rejected	visual review: noisy probe, no coherent texture structure	L17_HC__mtmmgutz4.pcx__seg5__0x00029875__rank2	output/tex_large_unresolved_probe_render/L17_HC/MTMMgutz4.pcx_seg5_off00029875_skip16_w128_pal.png	output/tex_large_unresolved_probe_render/L17_HC/MTMMgutz4.pcx_seg5_off00029875_skip16_w128_pal_fullhd.png	output/tex_large_unresolved_probe_review/sheets/L17_HC__mtmmgutz4.pcx__seg5__0x00029875.png
L17_HC	MTMMgutz4.pcx	5	0x00029875	3	rejected	visual review: noisy probe, no coherent texture structure	L17_HC__mtmmgutz4.pcx__seg5__0x00029875__rank3	output/tex_large_unresolved_probe_render/L17_HC/MTMMgutz4.pcx_seg5_off00029875_skip4_w128_pal.png	output/tex_large_unresolved_probe_render/L17_HC/MTMMgutz4.pcx_seg5_off00029875_skip4_w128_pal_fullhd.png	output/tex_large_unresolved_probe_review/sheets/L17_HC__mtmmgutz4.pcx__seg5__0x00029875.png
L3_DH	dragend.pcx	7	0x00050220	1	rejected	visual review: noisy probe, no coherent texture structure	L3_DH__dragend.pcx__seg7__0x00050220__rank1	output/tex_large_unresolved_probe_render/L3_DH/dragend.pcx_seg7_off00050220_skip8_w64_pal.png	output/tex_large_unresolved_probe_render/L3_DH/dragend.pcx_seg7_off00050220_skip8_w64_pal_fullhd.png	output/tex_large_unresolved_probe_review/sheets/L3_DH__dragend.pcx__seg7__0x00050220.png
L3_DH	dragend.pcx	7	0x00050220	2	rejected	visual review: noisy probe, no coherent texture structure	L3_DH__dragend.pcx__seg7__0x00050220__rank2	output/tex_large_unresolved_probe_render/L3_DH/dragend.pcx_seg7_off00050220_skip12_w64_pal.png	output/tex_large_unresolved_probe_render/L3_DH/dragend.pcx_seg7_off00050220_skip12_w64_pal_fullhd.png	output/tex_large_unresolved_probe_review/sheets/L3_DH__dragend.pcx__seg7__0x00050220.png
L3_DH	dragend.pcx	7	0x00050220	3	rejected	visual review: noisy probe, no coherent texture structure	L3_DH__dragend.pcx__seg7__0x00050220__rank3	output/tex_large_unresolved_probe_render/L3_DH/dragend.pcx_seg7_off00050220_skip4_w64_pal.png	output/tex_large_unresolved_probe_render/L3_DH/dragend.pcx_seg7_off00050220_skip4_w64_pal_fullhd.png	output/tex_large_unresolved_probe_review/sheets/L3_DH__dragend.pcx__seg7__0x00050220.png
L5_HC	catbas.pcx	4	0x0003fd0f	1	rejected	visual review: noisy probe, no coherent texture structure	L5_HC__catbas.pcx__seg4__0x0003fd0f__rank1	output/tex_large_unresolved_probe_render/L5_HC/catbas.pcx_seg4_off0003fd0f_skip4_w64_pal.png	output/tex_large_unresolved_probe_render/L5_HC/catbas.pcx_seg4_off0003fd0f_skip4_w64_pal_fullhd.png	output/tex_large_unresolved_probe_review/sheets/L5_HC__catbas.pcx__seg4__0x0003fd0f.png
L5_HC	catbas.pcx	4	0x0003fd0f	2	rejected	visual review: noisy probe, no coherent texture structure	L5_HC__catbas.pcx__seg4__0x0003fd0f__rank2	output/tex_large_unresolved_probe_render/L5_HC/catbas.pcx_seg4_off0003fd0f_skip0_w64_pal.png	output/tex_large_unresolved_probe_render/L5_HC/catbas.pcx_seg4_off0003fd0f_skip0_w64_pal_fullhd.png	output/tex_large_unresolved_probe_review/sheets/L5_HC__catbas.pcx__seg4__0x0003fd0f.png
L5_HC	catbas.pcx	4	0x0003fd0f	3	rejected	visual review: noisy probe, no coherent texture structure	L5_HC__catbas.pcx__seg4__0x0003fd0f__rank3	output/tex_large_unresolved_probe_render/L5_HC/catbas.pcx_seg4_off0003fd0f_skip16_w64_pal.png	output/tex_large_unresolved_probe_render/L5_HC/catbas.pcx_seg4_off0003fd0f_skip16_w64_pal_fullhd.png	output/tex_large_unresolved_probe_review/sheets/L5_HC__catbas.pcx__seg4__0x0003fd0f.png
L8_SJ	hang02.pcx	7	0x0006adbd	1	rejected	visual review: noisy probe, no coherent texture structure	L8_SJ__hang02.pcx__seg7__0x0006adbd__rank1	output/tex_large_unresolved_probe_render/L8_SJ/hang02.pcx_seg7_off0006adbd_skip4_w256_pal.png	output/tex_large_unresolved_probe_render/L8_SJ/hang02.pcx_seg7_off0006adbd_skip4_w256_pal_fullhd.png	output/tex_large_unresolved_probe_review/sheets/L8_SJ__hang02.pcx__seg7__0x0006adbd.png
L8_SJ	hang02.pcx	7	0x0006adbd	2	rejected	visual review: noisy probe, no coherent texture structure	L8_SJ__hang02.pcx__seg7__0x0006adbd__rank2	output/tex_large_unresolved_probe_render/L8_SJ/hang02.pcx_seg7_off0006adbd_skip12_w256_pal.png	output/tex_large_unresolved_probe_render/L8_SJ/hang02.pcx_seg7_off0006adbd_skip12_w256_pal_fullhd.png	output/tex_large_unresolved_probe_review/sheets/L8_SJ__hang02.pcx__seg7__0x0006adbd.png
L8_SJ	hang02.pcx	7	0x0006adbd	3	rejected	visual review: noisy probe, no coherent texture structure	L8_SJ__hang02.pcx__seg7__0x0006adbd__rank3	output/tex_large_unresolved_probe_render/L8_SJ/hang02.pcx_seg7_off0006adbd_skip0_w256_pal.png	output/tex_large_unresolved_probe_render/L8_SJ/hang02.pcx_seg7_off0006adbd_skip0_w256_pal_fullhd.png	output/tex_large_unresolved_probe_review/sheets/L8_SJ__hang02.pcx__seg7__0x0006adbd.png
